Energy Unpiled Piled
9.829999923706055 0 0
9.84000015258789 0 0
9.850000381469727 0 0
9.859999656677246 0 0
9.869999885559082 0 0
9.880000114440918 0 0
9.890000343322754 0 0
9.899999618530273 0 0
9.90999984741211 0 0
9.920000076293945 0 0
9.930000305175781 0 0
9.9399995803833 0 0
9.949999809265137 0 0
9.960000038146973 0 0
9.970000267028809 0 0
9.979999542236328 0 0
9.989999771118164 0 0
10.0 0 0
10.010000228881836 0 0
10.020000457763672 0 0
10.029999732971191 0 0
10.039999961853027 0 0
10.050000190734863 0 0
10.0600004196167 0 0
10.069999694824219 0 0
10.079999923706055 0 0
10.09000015258789 0 0
10.100000381469727 0 0
10.109999656677246 0 1
10.119999885559082 0 0
10.130000114440918 0 0
10.140000343322754 0 0
10.149999618530273 0 0
10.15999984741211 0 0
10.170000076293945 0 0
10.180000305175781 0 0
10.1899995803833 0 0
10.199999809265137 0 0
10.210000038146973 0 0
10.220000267028809 0 0
10.229999542236328 0 0
10.239999771118164 0 0
10.25 0 0
10.260000228881836 0 0
10.270000457763672 0 0
10.279999732971191 0 0
10.289999961853027 0 0
10.300000190734863 0 0
10.3100004196167 0 0
10.319999694824219 0 0
10.329999923706055 0 0
10.34000015258789 1 0
10.350000381469727 0 0
10.359999656677246 0 1
10.369999885559082 0 0
10.380000114440918 0 0
10.390000343322754 0 0
10.399999618530273 0 0
10.40999984741211 0 0
10.420000076293945 0 0
10.430000305175781 0 0
10.4399995803833 0 0
10.449999809265137 0 1
10.460000038146973 0 0
10.470000267028809 0 0
10.479999542236328 0 0
10.489999771118164 0 0
10.5 0 0
10.510000228881836 0 0
10.520000457763672 0 0
10.529999732971191 0 0
10.539999961853027 0 0
10.550000190734863 0 0
10.5600004196167 0 0
10.569999694824219 0 0
10.579999923706055 0 0
10.59000015258789 0 0
10.600000381469727 0 0
10.609999656677246 0 0
10.619999885559082 0 0
10.630000114440918 0 0
10.640000343322754 0 0
10.649999618530273 0 0
10.65999984741211 0 0
10.670000076293945 0 0
10.680000305175781 0 0
10.6899995803833 0 0
10.699999809265137 1 1
10.710000038146973 0 0
10.720000267028809 0 0
10.729999542236328 0 0
10.739999771118164 0 0
10.75 0 0
10.760000228881836 0 0
10.770000457763672 0 0
10.779999732971191 0 0
10.789999961853027 0 0
10.800000190734863 0 0
10.8100004196167 0 0
10.819999694824219 0 0
10.829999923706055 0 0
10.84000015258789 0 0
10.850000381469727 0 0
10.859999656677246 0 0
10.869999885559082 0 0
10.880000114440918 0 0
10.890000343322754 0 0
10.899999618530273 0 0
10.90999984741211 0 0
10.920000076293945 0 0
10.930000305175781 0 0
10.9399995803833 0 0
10.949999809265137 0 0
10.960000038146973 0 0
10.970000267028809 0 0
10.979999542236328 0 0
10.989999771118164 0 0
11.0 0 0
